codigo_producto,descripcion_producto,costo_producto,precio_producto,stock_actual_producto,unidad_de_medida_producto,proveedor_producto,ramo_producto,familia_producto,grupo_producto,marco_producto
0019,JUGO RINDE DOS NARANJA Y BANANA DISP X 10 UNI (24 UNI),132.501,159.0,26.0,Uni,DANIEL,BEBIDAS,JUGOS,Sin asignar,RINDE DOS
0020,JUGO RINDE DOS MANZANA DISP X 10 UNI (24 UNI),132.0,158.0,0.0,Uni,DANIEL,BEBIDAS,JUGOS,Sin asignar,RINDE DOS
0021,JUGO RINDE DOS PERA DISP X 10 UNI (24 UNI),132.501,159.0,31.0,Uni,DANIEL,BEBIDAS,JUGOS,Sin asignar,RINDE DOS
0022,JUGO RINDE DOS FRUTILLA DISP X 10 UNI (24 UNI),132.501,159.0,23.0,Uni,DANIEL,BEBIDAS,JUGOS,Sin asignar,RINDE DOS
0040,JUGO RINDE DOS NARANJA Y DURAZNO DISP X 10 UNI (24 UNI),132.501,159.0,1.0,Uni,DANIEL,BEBIDAS,JUGOS,Sin asignar,RINDE DOS
0240,JUGO RINDE DOS NARANJA Y  MANGO DISP 10 UNI (24 UNI),132.0,158.0,4.0,Uni,DANIEL,BEBIDAS,JUGOS,Sin asignar,RINDE DOS
0007,ECCOLE (6UNI),120.0,156.0,57.0,Uni,DANIEL,HOGAR,VARIOS,Sin asignar,LA CONSTANCIA
0051,ENCENDEDORES BIC BLISTER 12 UNIDADES (22 UNI),28.751,36.0,0.0,Uni,DANIEL,HOGAR,VARIOS,Sin asignar,BIC
603,SHAMPOO CLEAR MEN LIMPIEZA DIARIA 2 EN 1 400 ML (12 UNI),199.999,250.0,0.0,Uni,DANIEL,FARMACIA Y TOCADOR,BALERINA,Sin asignar,BALLERINA
604,SHAMPOO CLEAR MEN CAIDA CONTROL 400 ML (12 UNI),199.999,250.0,0.0,Uni,DANIEL,FARMACIA Y TOCADOR,BALERINA,Sin asignar,BALLERINA
20,BIC CONFORT 3 VERDE X 12 UNIDADES,330.0,396.0,0.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,BIC
0008,DESODORANTE DOVE INVISIBLE 150ML (12 UNI),105.0,131.0,0.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,DOVE
013,DESODORANTE AXE BLACK 150 ML (12 UNI),100.0,125.0,1.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,AXE
014,DESODORANTE AXE MUSK 150 ML (12 UNI),100.0,125.0,0.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,AXE
015,DESODORANTE AXE APOLLO 150 ML (12 UNI),89.999,112.0,0.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,AXE
016,DESODORANTE AXE MARINE 150 ML (12 UNI),100.0,125.0,0.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,AXE
023,DESODORANTE REXONA V8 150ML (12 UNI),100.0,125.0,3.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,REXONA
024,DESODORANTE REXONA HOMBRE 150ML (12 UNI),100.0,125.0,0.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,REXONA
035,DESODORANTE REXONA INVISIBLE 150ML (12 UNI),100.0,125.0,0.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,REXONA
036,DESODORANTE REXONA COTTON DRY 150ML (12 UNI),100.0,125.0,0.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,REXONA
037,DESODORANTE REXONA NUTRITIVE 150ML (12 UNI),100.0,125.0,0.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,REXONA
038,DESODORANTE DOVE ORIGINAL 150ML (12 UNI),105.001,131.0,0.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,DOVE
039,DESODORANTE DOVE POMELO Y HIERBA LIMON 150ML (12 UNI),105.001,131.0,0.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,DOVE
040,DESODORANTE DOVE PERA Y ALOE VERA 150ML (12 UNI),110.0,138.0,0.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,DOVE
42,DESODORANTE DOVE PEPINO Y TE VERDE 150ML (12 UNI),105.001,131.0,0.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,DOVE
45,DESINFECTANTE EN AEROSOL LYSOFORM LAVANDA 360 ML,125.0,150.0,0.0,Uni,DANIEL,LIMPIEZA,Sin asignar,Sin asignar,LYSOFORM
046,DESINFECTANTE EN AEROSOL LYSOFORM ORIGINAL 360 ML,125.0,150.0,3.0,Uni,DANIEL,LIMPIEZA,Sin asignar,Sin asignar,LYSOFORM
048,TALCO REXONA EFFICIENT ORIGINAL 200 GR (6 UNI),120.0,144.0,0.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,REXONA
050,TABLETAS RAID 24 UNI (20 UNI),89.999,112.0,96.0,Uni,DANIEL,HOGAR,Sin asignar,Sin asignar,RAID
051,LA GOTITA (6 UNI),44.001,55.0,0.0,Uni,DANIEL,HOGAR,Sin asignar,Sin asignar,
052,DESODORANTE REXONA SENSITIVE 150ML (12 UNI),100.0,125.0,0.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,REXONA
49717,DESODORANTE REXONA XTRACOOL 150ML (12 UNI),100.0,125.0,0.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,REXONA
0024,DESODORANTE DOVE COCO Y FLOR DE JAZMIN 150ML (12 UNI),110.0,138.0,9.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,DOVE
0035,DESODORANTE BARRA DOVE ORIGINAL 50GR (12 UNI),130.0,162.0,0.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,DOVE
0037,DESODORANTE ROLL ON DOVE ORIGINAL 50ML (12 UNI),92.0,115.0,0.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,DOVE
0050,DESODORANTE DOVE GRANADA 150ML (12 UNI),110.0,138.0,1.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,DOVE
0053,ACONDICIONADOR PANTENE SACHET 24 UNIDAEDES (15 UNI),120.0,150.0,1.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,
0054,SHAMPOO PANTENE SHACHET 24 UNIDADES (15 UNI),120.0,150.0,0.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,
0055,SHAMPPO Y ACONDICIONADOR 2 EN 1 PANTENE SACHET 24 UNIDADES (15 UNI),120.0,150.0,1.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,
0073,DESODORANTE REXONA ANTIBACTERIAL HOMBRE 150ML (12 UNI),100.0,125.0,11.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,REXONA
0074,DESODORANTE REXONA FUTBOL FANATIC 150ML (12 UNI),100.0,125.0,1.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,REXONA
21,DESODORANTE DE PIE REXONA EFFICIENT 153 ML (12 UNI),110.0,143.0,0.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,REXONA
00074,DESODORANTE REXONA ANTIBACTERIAL MUJER 150ML (12 UNI),100.0,125.0,11.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,REXONA
00038,DESODORANTE DOVE MEN SPORT FRESH 150 ML (12 UNI),110.0,138.0,0.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,DOVE
00039,DESODORANTE DOVE MEN EXTRA FRESH 150ML (12 UNI),110.0,138.0,0.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,DOVE
00040,DESODORANTE DOVE MEN PROTECCION TOTAL 150ML (12 UNI),110.0,138.0,0.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,DOVE
5241,DESODORANTE EN BARRA DOVE INVISIBLE DRY 50GR (12 UNI),115.0,144.0,0.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,DOVE
045,DESODORANTE REXONA ACTIVE EMOTION 150ML (12 UNI),100.0,125.0,0.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,REXONA
055,DESODORANTE REXONA BAMBOO Y ALOE VERA 150ML (12 UNI),100.0,125.0,0.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,REXONA
059,DESODORANTE REXONA ACTIVE EMOTION 150ML (12 UNI),100.0,125.0,0.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,REXONA
062,REPELENTE FAMILY OFF SPRAY 131ML (12 UNI),110.0,138.0,0.0,Uni,DANIEL,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,OFF
32,CAFE NESCAFE FORTE FRASCO 200 GR (12 UNI),156.199,203.0,0.0,Uni,EMPRESA,CAFE E INFUSIONES,CAFE,Sin asignar,NESTLE
33,CAPSULA DOLCE GUSTO ESPRESSO INTENSO X 10 UNIDADES (6 UNI),143.0,179.0,0.0,Uni,EMPRESA,CAFE E INFUSIONES,CAFE,Sin asignar,NESTLE
22,CAFE IGUAZU LATA 200 GR (12 UNI),132.0,158.0,0.0,Uni,EMPRESA,CAFE E INFUSIONES,CAFE,Sin asignar,IGUAZU
23,CAFE IGUAZU SACHET 40 GR (24 UNI),32.817,39.0,6.0,Uni,EMPRESA,CAFE E INFUSIONES,CAFE,Sin asignar,IGUAZU
461,CAPSULA DOLCE GUSTO CAFE CON LECHE X 10 UNIDADES (6 UNI),143.0,179.0,0.0,Uni,EMPRESA,CAFE E INFUSIONES,CAFE,Sin asignar,NESTLE
462,CAPSULA DOLCE GUSTO NESCAU X 10 UNIDADES (6 UNI),172.701,216.0,0.0,Uni,EMPRESA,CAFE E INFUSIONES,CAFE,Sin asignar,NESTLE
463,CAPSULA DOLCE GUSTO MOCHACCINO CANELA X 10 UNIDADES (6 UNI),148.501,186.0,0.0,Uni,EMPRESA,CAFE E INFUSIONES,CAFE,Sin asignar,NESTLE
464,CAPSULA DOLCE GUSTO CHOCOCINO X 10 UNIDADES (6 UNI),148.501,186.0,0.0,Uni,EMPRESA,CAFE E INFUSIONES,CAFE,Sin asignar,NESTLE
0044,CAFE NESCAFE EXTRA FORTE FRASCO 200 GR (12 UNI),156.199,203.0,0.0,Uni,EMPRESA,CAFE E INFUSIONES,CAFE,Sin asignar,NESTLE
0045,CAFE NESCAFE MATINAL SUAVE 200 GR (12 UNI),156.199,203.0,0.0,Uni,EMPRESA,CAFE E INFUSIONES,CAFE,Sin asignar,NESTLE
0047,CAPSULA DOLCE GUSTO CAPPUCCINO X 10 UNIDADES (6 UNI),231.0,289.0,0.0,Uni,EMPRESA,CAFE E INFUSIONES,CAFE,Sin asignar,NESTLE
0066,CAFE NESCAFE DESCAFEINADO SHACHET 50 GR (24 UNI),62.699,82.0,0.0,Uni,EMPRESA,CAFE E INFUSIONES,CAFE,Sin asignar,NESTLE
0067,CAPSULA DOLCE GUSTO LATTE MACCHIATO X 10 UNIDADES (6 UNI),161.04,201.0,0.0,Uni,EMPRESA,CAFE E INFUSIONES,CAFE,Sin asignar,NESTLE
0064,NESCAU LATA 370 GR (30 UNI),64.937,91.0,0.0,Uni,EMPRESA,CAFE E INFUSIONES,COCOA,Sin asignar,NESTLE
0049,GALLETA RELLENA NEGRESCO CHOCOLATE 100GR (66 UNI),21.667,27.0,0.0,Uni,EMPRESA,ALFAJORES Y GALLETAS,GALLETAS,Sin asignar,NESTLE
0065,GALLETA RELLENA OREO 90GR (48 UNI),27.5,36.0,0.0,Uni,EMPRESA,ALFAJORES Y GALLETAS,GALLETAS,Sin asignar,
0076,GALLETA RELLENA OREO FRUTILLA 90 GR (48 UNI),27.5,36.0,0.0,Uni,EMPRESA,ALFAJORES Y GALLETAS,GALLETAS,Sin asignar,ORES
0077,GALLETA RELLENA OREO CHOCOLATE 90 GR (48 UNI),27.5,36.0,0.0,Uni,EMPRESA,ALFAJORES Y GALLETAS,GALLETAS,Sin asignar,
0356,GALLETA RELLENA NEGRESCO FRUTILLA 90GR (66 UNI),21.667,27.0,0.0,Uni,EMPRESA,ALFAJORES Y GALLETAS,GALLETAS,Sin asignar,NESTLE
112412,LECHE CONDENSADA PARMALAT 395 GR (24 UNI),60.632,76.0,-1.0,Uni,EMPRESA,LACTEOS,PARMALAT,Sin asignar,PARMALAT
6012,CREMA CHANTILLY PURATOS 1 LT (12 UNI),137.5,172.0,0.0,Uni,EMPRESA,ELABORACION Y PANADERIAS,ENVASADOS,Sin asignar,
017,PASTA AMERICANA MIX 820 GR (12 UNI),176.001,220.0,0.0,Uni,EMPRESA,ELABORACION Y PANADERIAS,ENVASADOS,Sin asignar,MIX
0038,GRANAS COLORES MIX 500 GR (18 UNI),82.499,111.0,0.0,Uni,EMPRESA,ELABORACION Y PANADERIAS,ENVASADOS,Sin asignar,MIX
4601,PAN RALLADO 5 KG,250.0,312.0,13.0,Uni,EMPRESA,ELABORACION Y PANADERIAS,ENVASADOS,Sin asignar,LA COSECHA
0108,BOMBONES GAROTO CAJA 250 GR (30 UNI),82.499,103.0,0.0,Uni,EMPRESA,GOLOSINAS,CHOCOLATES,Sin asignar,GAROTO
0001,CHOCOLATE GAROTO A LA LECHE 90 GR (16 UNI),28.875,36.0,0.0,Uni,EMPRESA,GOLOSINAS,CHOCOLATES,Sin asignar,GAROTO
0002,CHOCOLATE GAROTO BLANCO 90 GR (16 UNI),28.875,36.0,0.0,Uni,EMPRESA,GOLOSINAS,CHOCOLATES,Sin asignar,GAROTO
0003,CHOCOLATE GAROTO CAJU Y PASAS 90 GR (16 UNI),30.8,38.0,0.0,Uni,EMPRESA,GOLOSINAS,CHOCOLATES,Sin asignar,GAROTO
0004,CHOCOLATE GAROTO CROCANTE 90 GR (16 UNI),28.875,36.0,0.0,Uni,EMPRESA,GOLOSINAS,CHOCOLATES,Sin asignar,GAROTO
0005,CHOCOLATE GAROTO NEGRESCO 90 GR (16 UNI),28.875,38.0,0.0,Uni,EMPRESA,GOLOSINAS,CHOCOLATES,Sin asignar,GAROTO
0006,CHOCOLATE GAROTO ROCKLES 90 GR (16 UNI),28.875,36.0,0.0,Uni,EMPRESA,GOLOSINAS,CHOCOLATES,Sin asignar,GAROTO
0009,CHOCOLATE GAROTO OPERETA 90 GR (16 UNI),30.8,38.0,0.0,Uni,EMPRESA,GOLOSINAS,CHOCOLATES,Sin asignar,GAROTO
0025,BOMBONES GAROTO SERENATA BOLSA 825 GR (10 UNI),330.0,396.0,0.0,Uni,EMPRESA,GOLOSINAS,CHOCOLATES,Sin asignar,GAROTO
2999,CHOCOLATE GAROTO CAJU 90 GR (16 UNI),28.875,36.0,0.0,Uni,EMPRESA,GOLOSINAS,CHOCOLATES,Sin asignar,GAROTO
3000,CHOCOLATE GAROTO MEDIO AMARGO 90 GR (16 UNI),28.875,36.0,0.0,Uni,EMPRESA,GOLOSINAS,CHOCOLATES,Sin asignar,GAROTO
820053,ACEITE DE SOJA COAMO 900 ML (20 UNI),42.0,47.0,0.0,Uni,EMPRESA,ACEITES,DOMESTICOS,Sin asignar,
5817,ESCOBA ESMERALDA MULTIUSO CONDOR (12 UNI),92.4,116.0,2.0,Uni,EMPRESA,LIMPIEZA,Sin asignar,Sin asignar,CONDOR
6090,ESCOBA MADRI CONDOR (14 UNI),71.501,93.0,9.0,Uni,EMPRESA,LIMPIEZA,Sin asignar,Sin asignar,CONDOR
160,PRUEBA,104.999,136.0,0.0,Uni,EMPRESA,Sin asignar,Sin asignar,Sin asignar,
51,NUTELLA 350 GR (12 UNI),206.8,248.0,0.0,Uni,EMPRESA,DULCES Y MERMELADAS,Sin asignar,Sin asignar,NUTELLA
53,NUTELLA 650 GR (6 UNI),351.999,422.0,0.0,Uni,EMPRESA,DULCES Y MERMELADAS,Sin asignar,Sin asignar,NUTELLA
17,JABON TOCADOR DOVE 90GR  (C 48 UNI),36.3,44.0,0.0,Uni,EMPRESA,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,DOVE
18,COLGATE TRIPLE ACCION 180 GR (12 UNI) (C 72 UNI),59.431,74.0,0.0,Uni,EMPRESA,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,COLGATE
19,COLGATE TRIPLE ACCION 90 GR (12 UNI) (C 144 UNI),31.433,39.0,0.0,Uni,EMPRESA,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,COLGATE
26,JABON ARIEL CONCENTRADO 2 LT EXPERT (6 UNI),271.7,340.0,0.0,Uni,EMPRESA,LIMPIEZA,Sin asignar,Sin asignar,ARIEL
54,NUTELLA 140 GR (10 UNI),85.8,107.0,0.0,Uni,EMPRESA,DULCES Y MERMELADAS,Sin asignar,Sin asignar,NUTELLA
1336,COLGATE TOTAL 12 90GR (12 UNI) (C 48 UNI),74.25,93.0,0.0,Uni,EMPRESA,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,COLGATE
375802,PACK SHAMPOO DOVE 400ML + ACONDICIONADOR 200 ML (8 UNI),231.0,289.0,0.0,Uni,EMPRESA,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,DOVE
901,PAN RALLADO 1 KG,55.0,69.0,34.0,Uni,EMPRESA,ENVASADOS,Sin asignar,Sin asignar,LA COSECHA
001,WHISKY JOHNNIE NEGRO 1 LT (12 uni),990.001,1287.0,0.0,Uni,EMPRESA,BEBIDAS,Sin asignar,Sin asignar,
002,WHISKY JOHNNIE ROJO 1 LT (12 UNI),528.0,686.0,1.0,Uni,EMPRESA,BEBIDAS,Sin asignar,Sin asignar,
0039,COLGATE 180 GR (12 UNI) (C 72 UNI),59.431,74.0,0.0,Uni,EMPRESA,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,COLGATE
0042,JABON ARIEL CONCENTRADO 2 LT DOWNY (6 UNI),242.0,302.0,0.0,Uni,EMPRESA,LIMPIEZA,Sin asignar,Sin asignar,ARIEL
0046,PACK SHAMPOO PANTENE HIDRATACION 175ML + ACONDICIONADOR 175 ML (6 UNI),173.8,217.0,0.0,Uni,EMPRESA,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,
0075,PACK SHAMPOO HEAD & SHOULDERS PREV CAIDA 2X 200ML (6 UNI),291.499,379.0,0.0,Uni,EMPRESA,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,
0078,GALLETA RELLENA NEGRESCO 90GR (66 UNI),21.667,28.0,0.0,Uni,EMPRESA,ALFAJORES Y GALLETAS,Sin asignar,Sin asignar,
0357,COLGATE 90 GR (12 UNI) (C 144 UNI),30.517,38.0,0.0,Uni,EMPRESA,FARMACIA Y TOCADOR,Sin asignar,Sin asignar,COLGATE
0090,CERVEZA ESTRELLA GALICIA 330 ML (24 UNI),35.75,43.0,0.0,Uni,EMPRESA,BEBIDAS,CERVEZA ARTESANAL,Sin asignar,
0029,PAPAS NOISSETE ORLEMANS 2.5 KG (4 UNI),343.125,446.0,16.0,Uni,GRABA S.A,CONGELADOS,PAPAS,Sin asignar,ORLEMANS
229,PAPAS STAR FRITES 2 KG (5 UNI),181.586,212.0,212.0,Uni,GRABA S.A,CONGELADOS,PAPAS,Sin asignar,STAR FRITES
0060,PAPAS BRAVAS SAZONADAS ORLEMANS 2.5 KG (4 UNI),395.035,474.0,3.0,Uni,GRABA S.A,CONGELADOS,PAPAS,Sin asignar,ORLEMANS
0028,PAPAS FRAM FRITES 7 MM 2.5 KG (5 UNI),288.491,335.0,16.0,Uni,GRABA S.A,CONGELADOS,PAPAS,Sin asignar,FRAM FRITES
0031,PAPAS NOISSETE ORLEMANS 1 KG (10 UNI),141.27,184.0,14.0,Uni,GRABA S.A,CONGELADOS,PAPAS,Sin asignar,ORLEMANS
1021,PAPAS FRAM FRITES 10 MM 2.5 KG (5 UNI),252.786,293.0,31.0,Uni,GRABA S.A,CONGELADOS,PAPAS,Sin asignar,FRAM FRITES
00077,PAPAS OERLEMANS 9MM 2.5KG (4 UNI),230.839,275.0,0.0,Uni,GRABA S.A,CONGELADOS,PAPAS,Sin asignar,OERLEMANS
2350,PAPAS FROSUR 2 KG (5 UNI),181.144,212.0,83.0,Uni,GRABA S.A,CONGELADOS,PAPAS,Sin asignar,
10004,FILET DE MERLUZA EMPANADO KG (CAJA 6 KG),368.019,478.0,90.088,Kg ,GRABA S.A,CONGELADOS,CARNES,Sin asignar,
1000,MEDALLONES DE MERLUZA KG (CAJA 6 KG),162.352,211.0,100.979,Kg ,GRABA S.A,CONGELADOS,CARNES,Sin asignar,
1029,MEDALLONES DE MERLUZA SOLIMENO CON ESPINACA Y QUESO 400 GR 4 UNI (12 UNI),85.739,116.0,170.0,Uni,GRABA S.A,CONGELADOS,CARNES,Sin asignar,
801,NUGGETS DE POLLO BAITA 700 GR (14 UNI),120.858,157.0,33.0,Uni,GRABA S.A,CONGELADOS,CARNES,Sin asignar,
800,NUGGETS DE POLLO FRANGOSUL 3KG (4 UNI),517.075,698.0,37.0,Uni,GRABA S.A,CONGELADOS,CARNES,Sin asignar,LEAUVIVE
1130,HAMBURGESA FRIBURGUER GURMET X 2 UNI 140 GR (30 UNI),32.218,42.0,87.0,Uni,GRABA S.A,CONGELADOS,CARNES,Sin asignar,FRIBURGUER
1140,HAMBURGESA FRIBURGER GASTRONOMICA X 2 UNI 170 GR (42 UNI),34.094,44.0,69.0,Uni,GRABA S.A,CONGELADOS,CARNES,Sin asignar,FRIBURGUER
1024,FORMITAS DE MERLUZA SOLIMENO 400 GR (10 UNI),117.387,153.0,8.0,Uni,GRABA S.A,CONGELADOS,CARNES,Sin asignar,SOYA
811,MILANESAS DE POLLO BAITA 1 KG (10 UNI),236.275,307.0,10.0,Uni,GRABA S.A,CONGELADOS,CARNES,Sin asignar,
814,STEAK DE POLLO BAITA 960GR (10 UNI),178.225,232.0,5.0,Uni,GRABA S.A,CONGELADOS,CARNES,Sin asignar,
1027,FILET DE MERLUZA SOLIMENO EMPANADO 400 GR (10 UNI),186.353,242.0,10.0,Uni,GRABA S.A,CONGELADOS,CARNES,Sin asignar,ORLEMANS
712,HELADO CHOMP ALMENDRAS FRIGOR 180GR (6 UNI),191.599,249.0,0.0,Uni,GRABA S.A,CONGELADOS,HELADOS,Sin asignar,FRIGOR
710,HELADO CHOMP DULCE DE LECHE FRIGOR 180GR (6 UNI),180.941,235.0,0.0,Uni,GRABA S.A,CONGELADOS,HELADOS,Sin asignar,FRIGOR
